Kfold,Iris dataset,value,iris dataset,value,Iosphere data set,value,iosphere data set,value
2,baggingKNeighbor train error,0.986666667,baggingKNeighbor cv error,0.313333333,baggingKNeighbor train error,0.871915584,baggingKNeighbor cv error,0.809415584
2,baggingRForest train error,0.98,baggingRForest cv error,0.313333333,baggingRForest train error,0.982938312,baggingRForest cv error,0.908993506
2,baggingDTree train error,1,baggingDTree cv error,0.326666667,baggingDTree train error,0.994318182,baggingDTree cv error,0.906038961
2,adaBoostEClass train error,1,adaBoostEClass cv error,0.32,adaBoostEClass train error,1,adaBoostEClass cv error,0.9175
2,adaBoostRForest train error,1,adaBoostRForest cv error,0.313333333,adaBoostRForest train error,1,adaBoostRForest cv error,0.928863636
2,adaBoostDTree train error,1,adaBoostDTree cv error,0.313333333,adaBoostDTree train error,1,adaBoostDTree cv error,0.906071429
4,baggingKNeighbor train error,0.97108091,baggingKNeighbor cv error,0.885668563,baggingKNeighbor train error,0.8822553,baggingKNeighbor cv error,0.81811651
4,baggingRForest train error,0.982202118,baggingRForest cv error,0.905761024,baggingRForest train error,0.982907737,baggingRForest cv error,0.926071055
4,baggingDTree train error,1,baggingDTree cv error,0.899182077,baggingDTree train error,0.996197719,baggingDTree cv error,0.911801202
4,adaBoostEClass train error,1,adaBoostEClass cv error,0.905761024,adaBoostEClass train error,1,adaBoostEClass cv error,0.931687565
4,adaBoostRForest train error,1,adaBoostRForest cv error,0.905761024,adaBoostRForest train error,1,adaBoostRForest cv error,0.937434692
4,adaBoostDTree train error,1,adaBoostDTree cv error,0.892247511,adaBoostDTree train error,1,adaBoostDTree cv error,0.888975967
6,baggingKNeighbor train error,0.969333333,baggingKNeighbor cv error,0.926666667,baggingKNeighbor train error,0.880927891,baggingKNeighbor cv error,0.832554062
6,baggingRForest train error,0.985333333,baggingRForest cv error,0.926666667,baggingRForest train error,0.990879268,baggingRForest cv error,0.92631015
6,baggingDTree train error,0.993333333,baggingDTree cv error,0.933333333,baggingDTree train error,0.992595493,baggingDTree cv error,0.903419053
6,adaBoostEClass train error,1,adaBoostEClass cv error,0.92,adaBoostEClass train error,1,adaBoostEClass cv error,0.931862459
6,adaBoostRForest train error,0.998666667,adaBoostRForest cv error,0.906666667,adaBoostRForest train error,1,adaBoostRForest cv error,0.929135009
6,adaBoostDTree train error,1,adaBoostDTree cv error,0.926666667,adaBoostDTree train error,1,adaBoostDTree cv error,0.860705241
8,baggingKNeighbor train error,0.968569281,baggingKNeighbor cv error,0.960160819,baggingKNeighbor train error,0.877498519,baggingKNeighbor cv error,0.829479387
8,baggingRForest train error,0.988556847,baggingRForest cv error,0.945906433,baggingRForest train error,0.985347307,baggingRForest cv error,0.934593023
8,baggingDTree train error,0.995236236,baggingDTree cv error,0.945906433,baggingDTree train error,0.995522495,baggingDTree cv error,0.900436047
8,adaBoostEClass train error,1,adaBoostEClass cv error,0.94627193,adaBoostEClass train error,1,adaBoostEClass cv error,0.934593023
8,adaBoostRForest train error,0.999045802,adaBoostRForest cv error,0.945906433,adaBoostRForest train error,1,adaBoostRForest cv error,0.934593023
8,adaBoostDTree train error,1,adaBoostDTree cv error,0.946637427,adaBoostDTree train error,1,adaBoostDTree cv error,0.866213002
10,baggingKNeighbor train error,0.971111111,baggingKNeighbor cv error,0.933333333,baggingKNeighbor train error,0.875280289,baggingKNeighbor cv error,0.832222222
10,baggingRForest train error,0.988888889,baggingRForest cv error,0.94,baggingRForest train error,0.988602572,baggingRForest cv error,0.925873016
10,baggingDTree train error,0.998518519,baggingDTree cv error,0.94,baggingDTree train error,0.992718505,baggingDTree cv error,0.905952381
10,adaBoostEClass train error,1,adaBoostEClass cv error,0.946666667,adaBoostEClass train error,1,adaBoostEClass cv error,0.926031746
10,adaBoostRForest train error,1,adaBoostRForest cv error,0.926666667,adaBoostRForest train error,1,adaBoostRForest cv error,0.934444444
10,adaBoostDTree train error,1,adaBoostDTree cv error,0.946666667,adaBoostDTree train error,1,adaBoostDTree cv error,0.851825397
